,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
97,7030.1,0.2213,0.23072,1.123,0.023813,0.00056786,0.060549,3754.8,NA,NA,NA,NA,208.59,NA,1.21,0.58297,0.000019624,1,4.8,252.3939
98,3980.6,-0.15072,0.29321,0.91755,0.040205,0.032045,-0.071975,3754.8,NA,NA,NA,NA,90.253,NA,1.21,0.70524,0.000019624,1,4.85,109.20613
99,8702.7,-0.20469,0.13919,1.1229,0.014597,0.052198,-0.02358,3754.8,NA,NA,NA,NA,111.49,NA,1.21,0.53493,0.000019624,1,4.9,134.9029
100,6212,-0.22933,-0.068975,1.0964,-0.13336,0.023491,0.044355,3754.8,NA,NA,NA,NA,222.45,NA,1.21,0.60562,0.000019624,1,4.95,269.1645
101,5073.6,-0.079255,-0.11034,0.94449,-0.083509,-0.0053747,-0.074842,3754.8,NA,NA,NA,NA,70.765,NA,1.21,0.66192,0.000019624,1,5,85.62565
102,8610.2,-0.19811,-0.3883,1.1326,0.044694,-0.0043494,0.018201,3754.8,NA,NA,NA,NA,164.14,NA,1.21,0.53647,0.000019624,1,5.05,198.6094
103,9084.2,0.19332,-0.034811,1.1797,-0.0014399,-0.025087,0.040841,3754.8,NA,NA,NA,NA,153.89,NA,1.21,0.51731,0.000019624,1,5.1,186.2069
104,4824.9,0.49521,0.1095,0.98085,0.11204,-0.0056935,-0.025271,3754.8,NA,NA,NA,NA,158.54,NA,1.21,0.66142,0.000019624,1,5.15,191.8334
105,7389.7,0.18081,0.13385,1.082,0.15983,0.0098182,0.0072868,3754.8,NA,NA,NA,NA,112.07,NA,1.21,0.55996,0.000019624,1,5.2,135.6047
106,7123,-0.43359,0.10237,1.088,-0.054396,0.051658,0.0080142,3754.8,NA,NA,NA,NA,183.59,NA,1.21,0.58133,0.000019624,1,5.25,222.1439
107,4681.8,0.13774,0.014488,0.96186,-0.12593,0.05423,-0.022178,3754.8,NA,NA,NA,NA,148.48,NA,1.21,0.67653,0.000019624,1,5.3,179.6608
108,5861.5,0.55735,-0.020484,0.96928,0.057699,-0.013562,-0.043253,3754.8,NA,NA,NA,NA,101.49,NA,1.21,0.65608,0.000019624,1,5.35,122.8029
109,6540.4,0.10358,0.073262,1.0753,0.17076,-0.0084673,-0.0051256,3754.8,NA,NA,NA,NA,206.09,NA,1.21,0.6062,0.000019624,1,5.4,249.3689
110,6929.7,-0.55926,-0.20262,0.9992,0.026266,-0.025008,-0.056397,3754.8,NA,NA,NA,NA,109.82,NA,1.21,0.6082,0.000019624,1,5.45,132.8822
111,5862.5,-0.31805,0.23636,1.0172,-0.12992,-0.025324,0.029361,3754.8,NA,NA,NA,NA,140.95,NA,1.21,0.6145,0.000019624,1,5.5,170.5495
112,7374.4,0.14187,0.40483,1.0722,-0.068409,0.064694,-0.056673,3754.8,NA,NA,NA,NA,137.32,NA,1.21,0.57768,0.000019624,1,5.55,166.1572
113,2173.4,0.019104,0.010791,0.79336,0.0080172,0.0040534,-0.18962,3754.8,NA,NA,NA,NA,38.7,NA,1.21,0.82621,0.000019624,1,5.6,46.827
